Company Name,Location,"Employees
Affected","Layoff
Date"
"MARC ECKO ENTERPRISES DIRECT 
LLC-ONTARIO",ONTARIO,15,4/18/14
"MARC ECKO ENTERPRISES DIRECT 
LLC-TULARE",TULARE,18,4/18/14
"MATTEL, INC.",EL SEGUNDO,128,3/25/14
MCDONALDS (DELTA TERMINAL #5),LOS ANGELES,68,1/31/14
MENZIES AVIATION LAX,LOS ANGELES,102,4/1/14
"MICROCELL COMMUNICATIONS, INC",COMMERCE,32,3/23/14
"MINDSPEED TECHNOLOGIES, INC.",NEWPORT BEACH,51,1/17/14
"MOARK, LLC",ADELANTO,16,1/10/14
"MOTION PICTURE TELEVISION FUND-
BOB HOPE HEALTH CTR",LOS ANGELES,20,6/1/14
"MOTION PICTURE TELEVISION FUND-
SANTA CLARITA",VALENCIA,24,6/1/14
"MOTION PICTURE TELEVISION FUND-
TOLUCA LAKE",BURBANK,71,6/1/14
"MOTION PICTURE TELEVISION FUND-
WASSERMAN CAMPUS",WOODLAND HILLS,182,6/1/14
"MOTION PICTURE TELEVISION FUND-
WESTSIDE HEALTH",LOS ANGELES,18,6/1/14
MULTIGEN DIAGNOSTICS INC.,SAN DIEGO,3,4/1/14
"NATIONAL BEEF CALIFORNIA, LP",BRAWLEY,1342,5/30/14
"NATIONAL CARRIERS, INC.",BRAWLEY,18,5/30/14
NBC UNIVERSAL MEDIA LLC,LOS ANGELES,2,1/6/14
"NBC UNIVERSAL MEDIA-FOOD SVCS 
UNIVERSAL COMMISARY",UNIVERSAL CITY,60,5/27/14
NBCUNIVERSAL MEDIA LLC,BURBANK,164,2/14/14
NBCUNIVERSAL MEDIA LLC,LOS ANGELES,4,2/3/14
"NETAPP, INC.",SUNNYVALE,164,5/11/14
NEWPORT SPECIALTY HOSPITAL,TUSTIN,147,2/15/14
"NEXTAG, INC.",SAN MATEO,45,6/2/14
"NORDSTROMS RACK AT LONG BEACH 
CITYPLACE",LONG BEACH,43,1/20/14
"NORTHROP GRUMMAN 
CORPORATION",FORT IRWIN,860,3/31/14
NORTHRUP GRUMMAN,FORT IRWIN,50,6/10/14
NOVARTIS PHARMACEUTICALS,SAN CARLOS,10,6/30/14
"NOVARTIS VACCINES & DIAGNOSIS 
INC",EMERYVILLE,167,2/28/14
"OASIS REHABILITATION CENTER, INC.",INDIO,105,7/1/14
OMNICARE INC,LOS ALAMITOS,99,1/14/14
ONE CALL CARE MANAGEMENT,SAN MARCOS,70,3/31/14
OPTIMER PHARMACEUTICALS INC,SAN DIEGO,3,1/31/14
OPTIMER PHARMACEUTICALS INC,SAN DIEGO,21,2/28/14
"ORI SERVICES CORP-SPAWAR 
SYSTEMS CENTER PACIFIC",SAN DIEGO,75,5/15/14
P.F.CHANGS CHINA BISTRO,SAN JOSE,66,1/26/14
PACIFIC CHEESE COMPANY,HAYWARD,54,5/2/14
PACIFIC MERCANTILE BANK,COSTA MESA,95,2/14/14
"PACKERS SANITATION SERVICES, INC 
- PSSI",BRAWLEY,111,4/10/14
"PAE APPLIED TECHNOLOGIES LLC, 
U.S.NAVY CONTRACT",CHINA LAKE,6,2/24/14
"PAE APPLIED TECHNOLOGIES LLC-
U.S.NAVY CONTRACT",POINT MUGU,6,2/24/14
"PALM DR.HOSPITAL/PALM 
DR.HAND&PHYSICAL THERAPY",SEBASTOPOL,242,5/28/14
"PALO ALTO MEDICAL FOUNDATION-
SUTTER HEALTH",MOUNTAIN VIEW,2,3/10/14
"PEREGRINE SEMICONDUCTOR 
CORPORATION",SAN DIEGO,50,1/30/14
PHOENIX BIG CINEMAS - FREMONT,FREMONT,8,4/10/14
PKL SERVICES,CAMP PENDLETON,37,2/4/14
POMONA VALLEY HOSPITAL,PONOMA,146,3/17/14
"POMONA VALLEY HOSPITAL-
BUSINESS OFFICE",PONOMA,30,3/17/14
"POMONA VALLEY HOSPITAL-MAIN 
HOSPITAL",PONOMA,3,3/17/14
"POMONA VALLEY HOSPITAL-POMONA 
VLY HEALTH CTR",PONOMA,3,3/17/14
"POMONA VALLEY HOSPITAL-REG. 
KIDNEY STONE CTR",PONOMA,4,3/17/14
"POMONA VALLEY HOSPITAL-
REGIONAL KIDNEY STONE CTR",PONOMA,1,3/17/14
"PORTFOLI HOTELS & RESORTS-
HARVEST INN",SAINT HELENA,53,1/23/14
"PORTFOLIO HOTELS & RESORTS-
DOUBLETREE HILTON LAX",EL SEGUNDO,90,1/7/14
"PSS WORLD MEDICAL-MCKESSON 
CORPORATION",SANTA ANA,8,1/15/14
QLOGIC CORPORATION,ALISO VIEJO,64,5/12/14
QUAD/GRAPHICS INC.,POMONA,25,4/3/14
"RADIOLOGICAL ASSOCIATES OF 
SACRAMENTO (RAS)",AUBURN,15,1/31/14
"RADIOLOGICAL ASSOCIATES OF 
SACRAMENTO (RAS)",SACRAMENTO,2,1/31/14
"RADIOLOGICAL ASSOCIATES OF 
SACRAMENTO (RAS)",SACRAMENTO,25,1/31/14
"RADIOLOGICAL ASSOCIATES OF 
SACRAMENTO (RAS)",SACRAMENTO,10,1/31/14
RALEYS,REDDING,61,4/26/14
RALPHS GROCERY COMPANY,CASTAIC,58,3/7/14
RALPHS GROCERY COMPANY,MURRIETA,49,3/7/14
RALPHS GROCERY COMPANY,ORANGE,50,6/16/14
RALPHS GROCERY COMPANY,RESEDA,55,1/17/14
"RAS-CAPITAL PET & NUCLEAR 
MEDICINE",SACRAMENTO,11,1/31/14
RAS-CAPITOL IMAGING,SACRAMENTO,45,1/31/14
RAS-CAPITOL IMAGING IR DEPT,SACRAMENTO,21,1/31/14
RAS-CARMICHAEL IMAGING,CARMICHAEL,22,1/31/14
RAS-FOLSOM IMAGING I & II,FOLSOM,31,1/31/14
RAS-FORT SUTTER DIAGNOSTIC,SACRAMENTO,4,1/31/14
"RAS-INTERVENTIONAL 
NEURORADIOLOGY CLINIC",SACRAMENTO,2,1/31/14
"RAS-MEDICAL 
RECORDS/SCHEDULING",ROSEVILLE,72,1/31/14
"RAS-RADIATION ONCOLOGY CENTER-
AUBURN",AUBURN,4,1/31/14
"RAS-RADIATION ONCOLOGY CENTER-
CAMERON PARK",CAMERON PARK,4,1/31/14
"RAS-RADIATION ONCOLOGY CENTER-
CARMICHAEL",CARMICHAEL,14,1/31/14
"RAS-RADIATION ONCOLOGY CENTER-
ROSEVILLE",ROSEVILLE,10,1/31/14
"RAS-RADIATION ONCOLOGY CENTER-
SACRAMENTO",SACRAMENTO,91,1/31/14
"RAS-RADIATION ONCOLOGY CENTER-
VACAVILLE",VACAVILLE,3,1/31/14
RAS-RAS MRI AT SRMC,ROSEVILLE,2,1/31/14
RAS-ROSEVILLE IMAGING,ROSEVILLE,61,1/31/14
"RAS-ROSEVILLE PET & NUCLEAR 
MEDICINE IMAGING",ROSEVILLE,11,1/31/14
RAS-SOUTH IMAGING,SACRAMENTO,23,1/31/14
RAS-TELERAS,ROSEVILLE,9,1/31/14
"RAS-VASCULAR AND VARICOSE VEIN 
CENTER",ROSEVILLE,18,1/31/14
"RAYTHEON COMPANY-SECURE 
INFORMATION SYSTEMS (SIS)",TORRANCE,4,5/12/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",LAKEPORT,15,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",NAPA,16,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",PETALUMA,10,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",SANTA ROSA,73,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",SANTA ROSA,50,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",SANTA ROSA,4,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",SANTA ROSA,9,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",SANTA ROSA,3,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",SANTA ROSA,6,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",SANTA ROSA,70,4/1/14
"REDWOOD REGIONAL MEDICAL 
GROUP, INC.",UKIAH,5,4/1/14
RICON,PANORAMA CITY,42,2/1/14
RICON,PANORAMA CITY,25,3/1/14
RICON,PANORAMA CITY,20,5/1/14
"RIVERSIDE DENTAL-THE DOCTOR 
GROUP",CORONA,33,2/28/14
"RIVERSIDE DENTAL-THE DOCTOR 
GROUP",PALM DESERT,21,2/28/14
"RIVERSIDE DENTAL-THE DOCTOR 
GROUP",RIVERSIDE,9,2/28/14
"RIVERSIDE DENTAL-THE DOCTOR 
GROUP",RIVERSIDE,43,2/28/14
"RIVERSIDE DENTAL-THE DOCTOR 
GROUP",RIVERSIDE,3,2/28/14
"RIVERSIDE DENTAL-THE DOCTOR 
GROUP",RIVERSIDE,21,2/28/14
"RIVERSIDE DENTAL-THE DOCTOR 
GROUP",TEMECULA,9,2/28/14
"RIVERSIDE DENTAL-THE DOCTORS 
GROUP",MORENO VALLEY,23,2/28/14
SALIX PHARMACEUTICALS,SAN DIEGO,200,3/6/14
SAN DIEGO OPERA,SAN DIEGO,11,1/14/14
SAN DIEGO OPERA,SAN DIEGO,26,4/14/14
SAN DIEGO OPERA,SAN DIEGO,4,4/14/14
SAN DIEGO OPERA ASSOCIATION,SAN DIEGO,41,4/14/14
SEDGWICK LLP,SAN FRANCISCO,75,10/1/14
"SELECT STAFFING @ DIGNIFIED 
TRANSITION SOLUTIONS",WESTLAKE VILLAGE,101,5/16/14
SENIOR OPERATIONS LLC,CHINO,9,1/31/14
SENIOR OPERATIONS LLC,CHINO,63,4/1/14
"SENIOR OPERATIONS, LLC-CAPO 
INDUSTRIES",CHINO,68,4/1/14
SERRA CORPORATION-HAYWARD,HAYWARD,5,5/9/14
SERRA CORPORATION-NEVADA CITY,NEVADA CITY,26,5/9/14
SERRA CORPORATION-SAN JOSE,SAN JOSE,41,5/9/14
SERVICELINK,IRVINE,67,6/13/14
SERVICELINK,MCCLELLAN AFB,97,4/13/14
"SHERATON LOS ANGELES 
DOWNTOWN",LOS ANGELES,15,6/22/14
"SHERATON LOS ANGELES 
DOWNTOWN HOTEL",LOS ANGELES,27,5/18/14
"SHIRE REGENERATIVE MEDICINE-
TORREY PINES SITE",LA JOLLA,196,3/18/14
"SHIRE REGENERATIVE MEDICINE-
TORREYANA SITE",SAN DIEGO,105,3/18/14
"SISTERS OF THE COMPANY OF MARY 
OUR LADY",LOS ANGELES,5,6/20/14
"SOLARWORLD INDUSTRIES AMERICA 
INC.",CAMARILLO,59,2/7/14
"SOLTA MEDICAL, INC",HAYWARD,115,1/24/14
"SOLTA MEDICAL, INC.",HAYWARD,116,3/23/14
"SONY COMPUTER ENTERTAINMENT 
AMERICA LLC",SANTA MONICA,40,2/25/14
"SONY ELECTRONICS, INC.-SAN DIEGO",SAN DIEGO,400,5/2/14
"SONY ELECTRONICS, INC.-SAN JOSE",SAN JOSE,50,5/2/14
"SONY PICTURES ENTERTAINMENT 
INC",CULVER CITY,206,6/2/14
"SONY PICTURES ENTERTAINMENT 
INC",CULVER CITY,10,6/2/14
SOUTHERN CA EDISON-SONGS,SAN CLEMENTE,13,1/17/14
SPRINT CUSTOMER SERVICE CENTER,RANCHO CORDOVA,245,3/18/14
"SQUAW VALLEY SKI HOLDING, LLC-
ALPINE MEADOWS",TAHOE CITY,34,4/28/14
"SQUAW VALLEY SKI HOLDINGS, LLC-
SQUAW VALLEY",OLYMPIC VALLEY,257,4/28/14
ST.JOSEPH HOSPITAL,ORANGE,152,3/7/14
"STARWOOD HOTELS & RESORTS 
WORLDWIDE-LANCASTER",LANCASTER,380,3/31/14
"STONYFIELD FARM, INC.",ANTIOCH,58,4/1/14
"SUTTER EAST BAY HOSP-BATES 
SUMMIT MED CTR",OAKLAND,1,1/6/14
"SUTTER HEALTH(ABSMC)-
PROVIDENCE PAVILLION CAMPUS",OAKLAND,6,5/12/14
"SUTTER HEALTH-ALTA BATES MED 
CTR-ALTA BATES CAMPUS",BERKELEY,23,1/10/14
"SUTTER HEALTH-ALTA BATES MED 
CTR-HERRICK CAMPUS",BERKELEY,1,1/10/14
"SUTTER HEALTH-ALTA BATES MED 
CTR-SUMMIT CAMPUS",OAKLAND,96,1/10/14
"SUTTER HEALTH-ALTA BATES 
SUMMIT MEDICAL CENTER",OAKLAND,22,3/7/14
"SUTTER HEALTH-ALTA BATES 
SUMMIT MEDICAL CENTER",SAN FRANCISCO,6,3/7/14
"SUTTER HEALTH/ABSMC - SUMMIT 
CAMPUS",OAKLAND,2,6/14/14
"SUTTER HEALTH/SUTTER AMADOR 
HOSPITAL",JACKSON,4,12/2/14
SYMANTEC CORPORATION,MOUNTAIN VIEW,42,6/2/14
TARGET,CHULA VISTA,117,2/1/14
THE BOEING COMPANY- LONG BEACH,LONG BEACH,46,4/18/14
THE BOEING COMPANY-EL SEGUNDO,EL SEGUNDO,15,4/18/14
"THE BOEING COMPANY-HUNTINGTON 
BEACH",HUNTINGTON BEACH,67,4/18/14
"THE FAT COW, FCLA LP",LOS ANGELES,92,3/28/14
THE FIT ATHLETIC CLUB,SOLANO BEACH,50,5/1/14
THE FRESH MARKET - STORE #152,ROSEVILLE,59,5/6/14
THE FRESH MARKET- STORE #167,SACRAMENTO,63,5/6/14
THE FRESH MARKET-STORE #173,ELK GROVE,63,5/6/14
"THE HUNTINGTON HOTEL & NOB HILL 
SPA",SAN FRANCISCO,115,1/6/14
THE OUTDOOR CHANNEL,TEMECULA,45,4/11/14
"THE RITZ-CARLTON, SAN FRANCISCO",SAN FRANCISCO,86,6/21/14
"THE RITZ-CARLTON,LAKE TAHOE-
MARRIOTT INTERNATIONAL",TRUCKEE,258,4/21/14
TIME WARNER CABLE,CYPRESS,72,2/3/14
"TOPA MANAGEMENT COMAPANY-
SIERRA VILLA",LANCASTER,2,3/31/14
"TOPA MANAGEMENT COMAPANY-
VILLAGE CENTER",ANAHEIM,3,6/30/14
"TOPA MANAGEMENT COMAPNY-
CORPORATE",LOS ANGELES,5,6/30/14
"TOPA MANAGEMENT COMPANY-
AUBURN VILLA",AUBURN,2,6/30/14
"TOPA MANAGEMENT COMPANY-
CORPORATE",LOS ANGELES,1,3/31/14
